ULAN_ID,Name,Lotos Club,Union League Club,Money Trust Investigation,Museum Board,Alive in 1912?
none,"Adams, Edward D.",No,Yes,No,Yes,Yes
500360341,"Andrews, William Loring",No,Yes,No,Yes,Yes
500313673,"Avery, Samuel Putnam",No,Yes,No,Yes,No
500448264,"Baker, George F.",No,Yes,Yes,Yes,Yes
500446555,"Bishop, Heber R.",No,Yes,No,Yes,No
500314546,"Blumenthal, George",Yes,No,No,Yes,Yes
500315918,"Clarke, Thomas B.",No,Yes,No,Yes,Yes
500443803,"Davis, Theodore M.",No,Yes,No,Yes,Yes
500447606,"Fahnestock, Harris Charles",No,Yes,Yes,Yes,Yes
500274405,"Frick, Henry Clay (NY)",No,Yes,No,Yes,Yes
500447886,"Hearn, George A.",Yes,No,No,Yes,Yes
500447057,"Hoagland, Joseph Christoffel",No,Yes,No,Yes,No
500447981,"Layton, Frederick",No,Yes,No,Yes,Yes
500449995,"Ream, Norman B.",No,No,Yes,Yes,Yes
500448080,"Reisinger, Hugo",Yes,No,No,Yes,Yes
500447943,"Rockefeller, William Avery Jr.",No,Yes,Yes,Yes,Yes
500447561,"Sloane, William Douglas",No,Yes,Yes,Yes,Yes
500443775,"Spoor, John A.",No,No,Yes,Yes,Yes
500445305,"Stillman, James",No,Yes,Yes,Yes,Yes
500447019,"Terry, John T.",No,Yes,No,Yes,Yes
500443864,"Tousey, Sinclair",No,Yes,No,Yes,No
500448430,"Valentine, P.A.",Yes,Yes,Yes,Yes,Yes
500447578,"Vanderbilt, Cornelius II",No,Yes,No,Yes,No
500443436,"Allen, George L.",No,No,No,Yes,Yes
,"Armour, George A.",,,,Yes,
500313616,"Astor, William",No,No,No,Yes,Yes
500447002,"Barger, Samuel F.",No,No,No,Yes,Yes
none,"Bartlett, Francis",No,No,No,Yes,Yes
500446563,"Bennett, James Gordon Jr.",No,No,No,Yes,Yes
500434760,"Bixby, William K.",No,No,No,Yes,Yes
500449338,"Catlin, Daniel",No,No,No,Yes,Yes
500446939,"Clark, George Crawford",No,No,No,Yes,Yes
500443524,"Comstock, William C.",No,No,No,Yes,Yes
500103961,"Deering, Charles",No,No,No,Yes,Yes
500435616,"Edwards, Robert J.",,,,Yes,
none,"Gould, Helen",No,No,No,Yes,Yes
500443189,"Gunsaulus, Dr. Frank W.",No,Yes,No,Yes,Yes
500448263,"Harkness, Edward",No,No,No,Yes,Yes
500443529,"Healy, Aaron Augustus",No,No,No,Yes,Yes
500443586,"Hutchinson, William J.",No,No,No,Yes,Yes
500443465,"Jewett, William Kennon",No,No,No,Yes,Yes
500320203,"Johnson, John G.",No,No,No,Yes,Yes
500441282,"Lewisohn, Adolph",No,No,No,Yes,Yes
500446933,"Martin, Bradley",No,No,No,Yes,Yes
500443877,"McAlpin, David H.",No,No,No,Yes,Yes
500435413,"Morgan, J. Pierpont, Jr.",No,No,No,Yes,Yes
500448246,"Nickerson, Samuel M.",No,No,No,Yes,Yes
500446565,"Roloson, Robert W.",No,No,No,Yes,Yes
500448308,"Russel, Horace",No,No,No,Yes,Yes
500325298,"Ryerson, Martin A.",No,No,No,Yes,Yes
500244709,"Spaulding, William S.",No,No,No,Yes,Yes
500371585,"Vanderbilt, William Kissam",No,No,No,Yes,Yes
500448079,"Walker, E. Chandler",No,No,No,Yes,Yes
500368885,"Walters, Henry",No,No,No,Yes,Yes
500434612,"White, George Robert",No,No,No,Yes,Yes
500447964,"Loeser, Frederick",No,No,No,Yes,No
none,"De Silver, Carll H.",No,No,No,Yes,Yes
500445014,"Lockwood, Luke Vincent",No,No,No,Yes,Yes
