label,category,id
"Adams, Edward D.",collector,1
"Andrews, William Loring",collector,2
"Avery, Samuel Putnam",collector,3
"Baker, George F.",collector,4
"Bishop, Heber R.",collector,5
"Blumenthal, George",collector,6
"Clarke, Thomas B.",collector,7
"Davis, Theodore M.",collector,8
"Fahnestock, Harris Charles",collector,9
"Frick, Henry Clay (NY)",collector,10
"Hearn, George A.",collector,11
"Hoagland, Joseph Christoffel",collector,12
"Layton, Frederick",collector,13
"Ream, Norman B.",collector,14
"Reisinger, Hugo",collector,15
"Rockefeller, William Avery Jr.",collector,16
"Sloane, William Douglas",collector,17
"Spoor, John A.",collector,18
"Stillman, James",collector,19
"Terry, John T.",collector,20
"Tousey, Sinclair",collector,21
"Valentine, P.A.",collector,22
"Vanderbilt, Cornelius II",collector,23
"Allen, George L.",collector,24
"Armour, George A.",collector,25
"Astor, William",collector,26
"Barger, Samuel F.",collector,27
"Bartlett, Francis",collector,28
"Bennett, James Gordon Jr.",collector,29
"Bixby, William K.",collector,30
"Catlin, Daniel",collector,31
"Clark, George Crawford",collector,32
"Comstock, William C.",collector,33
"Deering, Charles",collector,34
"Edwards, Robert J.",collector,35
"Gould, Helen",collector,36
"Gunsaulus, Dr. Frank W.",collector,37
"Harkness, Edward",collector,38
"Healy, Aaron Augustus",collector,39
"Hutchinson, William J.",collector,40
"Jewett, William Kennon",collector,41
"Johnson, John G.",collector,42
"Lewisohn, Adolph",collector,43
"Martin, Bradley",collector,44
"McAlpin, David H.",collector,45
"Morgan, J. Pierpont, Jr.",collector,46
"Nickerson, Samuel M.",collector,47
"Roloson, Robert W.",collector,48
"Russel, Horace",collector,49
"Ryerson, Martin A.",collector,50
"Spaulding, William S.",collector,51
"Vanderbilt, William Kissam",collector,52
"Walker, E. Chandler",collector,53
"Walters, Henry",collector,54
"White, George Robert",collector,55
"Loeser, Frederick",collector,56
"De Silver, Carll H.",collector,57
"Lockwood, Luke Vincent",collector,58
Metropolitan Museum of Art,museum,59
Saint Louis Art Museum,museum,60
Art Institute of Chicago,museum,61
Brooklyn Museum of Art,museum,62
"Museum of Fine Arts, Boston",museum,63
Detroit Institute of Arts,museum,64
