source_label,target_label,Title_Simple,weight,source,source_category,target,target_category
"Adams, Edward D.",Metropolitan Museum of Art,Board/Trustee,1,1,collector,59,museum
"Adams, Edward D.",Metropolitan Museum of Art,Committee,8,1,collector,59,museum
"Adams, Edward D.",Metropolitan Museum of Art,Donor,1,1,collector,59,museum
"Allen, George L.",Saint Louis Art Museum,Board/Trustee,1,24,collector,60,museum
"Andrews, William Loring",Metropolitan Museum of Art,Board/Trustee,1,2,collector,59,museum
"Andrews, William Loring",Metropolitan Museum of Art,Committee,2,2,collector,59,museum
"Andrews, William Loring",Metropolitan Museum of Art,Member,1,2,collector,59,museum
"Armour, George A.",Art Institute of Chicago,Member,1,25,collector,61,museum
"Astor, William",Metropolitan Museum of Art,Member,1,26,collector,59,museum
"Avery, Samuel Putnam",Brooklyn Museum of Art,Board/Trustee,1,3,collector,62,museum
"Avery, Samuel Putnam",Brooklyn Museum of Art,Committee,1,3,collector,62,museum
"Avery, Samuel Putnam",Brooklyn Museum of Art,Member,1,3,collector,62,museum
"Avery, Samuel Putnam",Metropolitan Museum of Art,Member,1,3,collector,59,museum
"Baker, George F.",Metropolitan Museum of Art,Board/Trustee,1,4,collector,59,museum
"Baker, George F.",Metropolitan Museum of Art,Committee,4,4,collector,59,museum
"Baker, George F.",Metropolitan Museum of Art,Member,1,4,collector,59,museum
"Barger, Samuel F.",Metropolitan Museum of Art,Member,1,27,collector,59,museum
"Bartlett, Francis","Museum of Fine Arts, Boston",Board/Trustee,1,28,collector,63,museum
"Bennett, James Gordon Jr.",Metropolitan Museum of Art,Member,1,29,collector,59,museum
"Bishop, Heber R.",Metropolitan Museum of Art,Member,1,5,collector,59,museum
"Bixby, William K.",Saint Louis Art Museum,Board/Trustee,1,30,collector,60,museum
"Blumenthal, George",Metropolitan Museum of Art,Board/Trustee,1,6,collector,59,museum
"Blumenthal, George",Metropolitan Museum of Art,Committee,4,6,collector,59,museum
"Blumenthal, George",Metropolitan Museum of Art,Member,1,6,collector,59,museum
"Catlin, Daniel",Saint Louis Art Museum,Board/Trustee,1,31,collector,60,museum
"Clark, George Crawford",Metropolitan Museum of Art,Member,1,32,collector,59,museum
"Clarke, Thomas B.",Art Institute of Chicago,Member,1,7,collector,61,museum
"Comstock, William C.",Art Institute of Chicago,Member,1,33,collector,61,museum
"Davis, Theodore M.",Metropolitan Museum of Art,Member,1,8,collector,59,museum
"De Silver, Carll H.",Brooklyn Museum of Art,Member,1,57,collector,62,museum
"Deering, Charles",Art Institute of Chicago,Member,1,34,collector,61,museum
"Edwards, Robert J.","Museum of Fine Arts, Boston",Committee,1,35,collector,63,museum
"Fahnestock, Harris Charles",Metropolitan Museum of Art,Board/Trustee,1,9,collector,59,museum
"Fahnestock, Harris Charles",Metropolitan Museum of Art,Member,1,9,collector,59,museum
"Frick, Henry Clay (NY)",Metropolitan Museum of Art,Board/Trustee,1,10,collector,59,museum
"Frick, Henry Clay (NY)",Metropolitan Museum of Art,Committee,2,10,collector,59,museum
"Frick, Henry Clay (NY)",Metropolitan Museum of Art,Member,1,10,collector,59,museum
"Gould, Helen",Metropolitan Museum of Art,Member,1,36,collector,59,museum
"Gunsaulus, Dr. Frank W.",Art Institute of Chicago,Board/Trustee,1,37,collector,61,museum
"Gunsaulus, Dr. Frank W.",Art Institute of Chicago,Member,1,37,collector,61,museum
"Harkness, Edward",Metropolitan Museum of Art,Board/Trustee,1,38,collector,59,museum
"Harkness, Edward",Metropolitan Museum of Art,Committee,2,38,collector,59,museum
"Harkness, Edward",Metropolitan Museum of Art,Member,1,38,collector,59,museum
"Healy, Aaron Augustus",Brooklyn Museum of Art,Board/Trustee,1,39,collector,62,museum
"Healy, Aaron Augustus",Brooklyn Museum of Art,Committee,2,39,collector,62,museum
"Healy, Aaron Augustus",Brooklyn Museum of Art,Member,2,39,collector,62,museum
"Hearn, George A.",Brooklyn Museum of Art,Board/Trustee,1,11,collector,62,museum
"Hearn, George A.",Brooklyn Museum of Art,Committee,2,11,collector,62,museum
"Hearn, George A.",Metropolitan Museum of Art,Board/Trustee,1,11,collector,59,museum
"Hearn, George A.",Metropolitan Museum of Art,Committee,3,11,collector,59,museum
"Hearn, George A.",Metropolitan Museum of Art,Donor,1,11,collector,59,museum
"Hoagland, Joseph Christoffel",Brooklyn Museum of Art,Member,1,12,collector,62,museum
"Hutchinson, William J.",Metropolitan Museum of Art,Member,1,40,collector,59,museum
"Jewett, William Kennon",Metropolitan Museum of Art,Member,1,41,collector,59,museum
"Johnson, John G.",Metropolitan Museum of Art,Board/Trustee,1,42,collector,59,museum
"Johnson, John G.",Metropolitan Museum of Art,Committee,2,42,collector,59,museum
"Layton, Frederick",Art Institute of Chicago,Member,1,13,collector,61,museum
"Lewisohn, Adolph",Metropolitan Museum of Art,Member,1,43,collector,59,museum
"Lockwood, Luke Vincent",Metropolitan Museum of Art,Member,1,58,collector,59,museum
"Loeser, Frederick",Brooklyn Museum of Art,Member,1,56,collector,62,museum
"Martin, Bradley",Metropolitan Museum of Art,Member,1,44,collector,59,museum
"McAlpin, David H.",Metropolitan Museum of Art,Member,1,45,collector,59,museum
"Morgan, J. Pierpont, Jr.",Metropolitan Museum of Art,Board/Trustee,1,46,collector,59,museum
"Morgan, J. Pierpont, Jr.",Metropolitan Museum of Art,Committee,4,46,collector,59,museum
"Morgan, J. Pierpont, Jr.",Metropolitan Museum of Art,Donor,1,46,collector,59,museum
"Nickerson, Samuel M.",Art Institute of Chicago,Board/Trustee,1,47,collector,61,museum
"Nickerson, Samuel M.",Art Institute of Chicago,Donor,1,47,collector,61,museum
"Nickerson, Samuel M.",Art Institute of Chicago,Member,2,47,collector,61,museum
"Ream, Norman B.",Art Institute of Chicago,Member,1,14,collector,61,museum
"Reisinger, Hugo",Metropolitan Museum of Art,Member,1,15,collector,59,museum
"Rockefeller, William Avery Jr.",Metropolitan Museum of Art,Member,1,16,collector,59,museum
"Roloson, Robert W.",Art Institute of Chicago,Member,1,48,collector,61,museum
"Russel, Horace",Metropolitan Museum of Art,Member,1,49,collector,59,museum
"Ryerson, Martin A.",Art Institute of Chicago,Board/Trustee,2,50,collector,61,museum
"Ryerson, Martin A.",Art Institute of Chicago,Committee,2,50,collector,61,museum
"Ryerson, Martin A.",Art Institute of Chicago,Donor,1,50,collector,61,museum
"Ryerson, Martin A.",Art Institute of Chicago,Member,1,50,collector,61,museum
"Sloane, William Douglas",Metropolitan Museum of Art,Member,1,17,collector,59,museum
"Spaulding, William S.","Museum of Fine Arts, Boston",Committee,1,51,collector,63,museum
"Spoor, John A.",Art Institute of Chicago,Member,1,18,collector,61,museum
"Stillman, James",Metropolitan Museum of Art,Member,1,19,collector,59,museum
"Terry, John T.",Metropolitan Museum of Art,Member,1,20,collector,59,museum
"Tousey, Sinclair",Metropolitan Museum of Art,Member,1,21,collector,59,museum
"Valentine, P.A.",Brooklyn Museum of Art,Board/Trustee,1,22,collector,62,museum
"Valentine, P.A.",Brooklyn Museum of Art,Committee,1,22,collector,62,museum
"Vanderbilt, Cornelius II",Metropolitan Museum of Art,Member,1,23,collector,59,museum
"Vanderbilt, William Kissam",Metropolitan Museum of Art,Member,1,52,collector,59,museum
"Walker, E. Chandler",Detroit Institute of Arts,Board/Trustee,1,53,collector,64,museum
"Walker, E. Chandler",Detroit Institute of Arts,Committee,1,53,collector,64,museum
"Walker, E. Chandler",Detroit Institute of Arts,Member,1,53,collector,64,museum
"Walters, Henry",Metropolitan Museum of Art,Board/Trustee,1,54,collector,59,museum
"Walters, Henry",Metropolitan Museum of Art,Committee,5,54,collector,59,museum
"White, George Robert","Museum of Fine Arts, Boston",Board/Trustee,1,55,collector,63,museum
"White, George Robert","Museum of Fine Arts, Boston",Committee,3,55,collector,63,museum
