"","Person","Ocurrences"
"Adams, Edward D.","Adams, Edward D.",335
"Aitken, John W.","Aitken, John W.",143
"Alger, Russel Alexander","Alger, Russel Alexander",175
"Allen, George L.","Allen, George L.",89
"Allis, Charles","Allis, Charles",195
"Ames, Frederick Lothrop","Ames, Frederick Lothrop",264
"Ames, Oliver","Ames, Oliver",175
"Andrews, William Loring","Andrews, William Loring",29
"Armour, George A.","Armour, George A.",0
"Astor, John Jacob (III)","Astor, John Jacob (III)",135
"Astor, William","Astor, William",59
"Avery, Samuel Putnam","Avery, Samuel Putnam",27
"Baker, George F.","Baker, George F.",319
"Bakewell, Allen Campbell","Bakewell, Allen Campbell",26
"Bangs, F.N.","Bangs, F.N.",18
"Barger, Samuel F.","Barger, Samuel F.",311
"Bartlett, Francis","Bartlett, Francis",124
"Bennett, James Gordon Jr.","Bennett, James Gordon Jr.",29
"Berwind, Edward Julius","Berwind, Edward Julius",324
"Bishop, Heber R.","Bishop, Heber R.",297
"Bixby, William K.","Bixby, William K.",290
"Blumenthal, George","Blumenthal, George",254
"Borden, Matthew Challoner Durfee","Borden, Matthew Challoner Durfee",195
"Bostwick, Jabez A.","Bostwick, Jabez A.",102
"Brookfield, William","Brookfield, William",195
"Burrage, Albert C.","Burrage, Albert C.",154
"Butler, Theron R.","Butler, Theron R.",98
"Carstairs, Charles Stewart","Carstairs, Charles Stewart",17
"Carstairs, John Haseltine","Carstairs, John Haseltine",29
"Catlin, Daniel","Catlin, Daniel",195
"Clark, George Crawford","Clark, George Crawford",106
"Clark, William (Newark)","Clark, William (Newark)",89
"Clark, William Andrews","Clark, William Andrews",230
"Clarke, Augustus W.","Clarke, Augustus W.",17
"Clarke, Thomas B.","Clarke, Thomas B.",106
"Closson, James T.","Closson, James T.",106
"Clyde, William P.","Clyde, William P.",206
"Cochran, Thomas","Cochran, Thomas",338
"Coffin, Charles Albert","Coffin, Charles Albert",115
"Comstock, William C.","Comstock, William C.",125
"Connor, Washington Everett","Connor, Washington Everett",106
"Cook, Henry H.","Cook, Henry H.",106
"Crocker, Charles","Crocker, Charles",254
"Curtis, George N.","Curtis, George N.",69
"Curtis, William John","Curtis, William John",243
"Davenport, Ira","Davenport, Ira",17
"Davis, Theodore M.","Davis, Theodore M.",167
"De Lima, David A.","De Lima, David A.",115
"Deering, Charles","Deering, Charles",89
"Dick, Harris Brisbane","Dick, Harris Brisbane",29
"Dun, Robert Graham","Dun, Robert Graham",18
"Edwards, Robert J.","Edwards, Robert J.",0
"Ellsworth, James W.","Ellsworth, James W.",237
"Fahnestock, Harris Charles","Fahnestock, Harris Charles",319
"Field, Marshall","Field, Marshall",46
"Fiske, Josiah M.","Fiske, Josiah M.",135
"Flagler, Henry Morrison","Flagler, Henry Morrison",134
"Fletcher, Isaac D.","Fletcher, Isaac D.",221
"Flower, Frederick, S.","Flower, Frederick, S.",323
"Foos, Lamar","Foos, Lamar",107
"Frick, Henry Clay (NY)","Frick, Henry Clay (NY)",228
"Fry, John Hemming","Fry, John Hemming",14
"Fuller, William H.","Fuller, William H.",35
"Gardiner, George Schuyler","Gardiner, George Schuyler",106
"Gary, Elbert H.","Gary, Elbert H.",210
"Gould, Frank Jay","Gould, Frank Jay",233
"Gould, George Jay I","Gould, George Jay I",204
"Gould, Helen","Gould, Helen",1
"Graham, Malcolm","Graham, Malcolm",89
"Gunsaulus, Dr. Frank W.","Gunsaulus, Dr. Frank W.",5
"Harbeck, Charles T.","Harbeck, Charles T.",46
"Harding, J. Horace","Harding, J. Horace",323
"Harkness, Charles W.","Harkness, Charles W.",226
"Harkness, Edward","Harkness, Edward",81
"Harper, Fletcher, Jr.","Harper, Fletcher, Jr.",29
"Harper, Joseph Abner","Harper, Joseph Abner",29
"Harrison, Hugh H.","Harrison, Hugh H.",184
"Hartley, Marcellus","Hartley, Marcellus",196
"Healy, Aaron Augustus","Healy, Aaron Augustus",123
"Hearn, George A.","Hearn, George A.",29
"Hearst, William Randolph","Hearst, William Randolph",52
"Heye, Dr. George G.","Heye, Dr. George G.",149
"Hill, James N.","Hill, James N.",223
"Hine, Francis L.","Hine, Francis L.",195
"Hoagland, Joseph Christoffel","Hoagland, Joseph Christoffel",89
"Holmes, John Grier","Holmes, John Grier",175
"Horton, Henry Lawrence","Horton, Henry Lawrence",106
"Hotchkiss, Horace L.","Hotchkiss, Horace L.",147
"Hoyt, Charles Albert","Hoyt, Charles Albert",195
"Humphreys, Dr. Alexander C.","Humphreys, Dr. Alexander C.",136
"Huntington, Collis P.","Huntington, Collis P.",202
"Huntington, Henry Edwards","Huntington, Henry Edwards",228
"Hutchinson, William J.","Hutchinson, William J.",228
"Hyde, Clarence M.","Hyde, Clarence M.",107
"Hyde, Henry Baldwin","Hyde, Henry Baldwin",135
"Inglis, James Smith","Inglis, James Smith",17
"Ives, Brayton C.","Ives, Brayton C.",285
"Jackson, Edwin E.","Jackson, Edwin E.",228
"Jennings, Frederick Beach","Jennings, Frederick Beach",311
"Jennings, Walter","Jennings, Walter",236
"Jewett, William Kennon","Jewett, William Kennon",297
"Johnson, John G.","Johnson, John G.",18
"King, David H., Jr.","King, David H., Jr.",91
"Kirby, Thomas E.","Kirby, Thomas E.",17
"Lambert, Catholina","Lambert, Catholina",195
"Lawrence, Cyrus I.","Lawrence, Cyrus I.",175
"Lawrence, Frank R.","Lawrence, Frank R.",124
"Layton, Frederick","Layton, Frederick",89
"Lehmaier, Louis A.","Lehmaier, Louis A.",29
"Lehman, Arthur","Lehman, Arthur",377
"Leighton, George E.","Leighton, George E.",282
"Lewisohn, Adolph","Lewisohn, Adolph",62
"Mansfield, Burton","Mansfield, Burton",239
"Martin, Bradley","Martin, Bradley",18
"Mather, Samuel","Mather, Samuel",236
"McAlpin, David H.","McAlpin, David H.",97
"McGarrah, G. W.","McGarrah, G. W.",175
"Mellon, Andrew W.","Mellon, Andrew W.",326
"Merriam, William Rush","Merriam, William Rush",245
"Milbank, Jeremiah","Milbank, Jeremiah",187
"Milliken, Seth Mellen","Milliken, Seth Mellen",228
"Mills, Darius Ogden","Mills, Darius Ogden",237
"Moore, William Henry","Moore, William Henry",293
"Morgan, J. Pierpont","Morgan, J. Pierpont",290
"Morgan, J. Pierpont, Jr.","Morgan, J. Pierpont, Jr.",297
"Nickerson, Samuel M.","Nickerson, Samuel M.",175
"Obrig, Adolf","Obrig, Adolf",195
"Oliver, George Tener","Oliver, George Tener",153
"Oliver, Henry W.","Oliver, Henry W.",360
"Peavey, Frank Hutchinson","Peavey, Frank Hutchinson",204
"Penfold, Edmund","Penfold, Edmund",132
"Peters, Samuel T.","Peters, Samuel T.",135
"Raynor, James A.","Raynor, James A.",69
"Ream, Norman B.","Ream, Norman B.",293
"Reid, Daniel G.","Reid, Daniel G.",264
"Reinhardt, Henry","Reinhardt, Henry",27
"Reisinger, Hugo","Reisinger, Hugo",89
"Riker, John Lawrence","Riker, John Lawrence",326
"Roberts, Marshall O.","Roberts, Marshall O.",216
"Rockefeller, William Avery Jr.","Rockefeller, William Avery Jr.",364
"Roebling, Ferdinand W.","Roebling, Ferdinand W.",290
"Roloson, Robert W.","Roloson, Robert W.",224
"Ruppert, Jacob","Ruppert, Jacob",255
"Russel, Horace","Russel, Horace",17
"Ryerson, Martin A.","Ryerson, Martin A.",224
"Sabin, Charles H.","Sabin, Charles H.",135
"Salter, Thomas P.","Salter, Thomas P.",86
"Schiff, Jacob Henry","Schiff, Jacob Henry",204
"Schwab, Charles M.","Schwab, Charles M.",195
"Seligman, Henry","Seligman, Henry",290
"Seligman, Isaac Newton","Seligman, Isaac Newton",114
"Shepherd, James G.","Shepherd, James G.",165
"Sloane, William Douglas","Sloane, William Douglas",330
"Smith, Charles Stewart","Smith, Charles Stewart",158
"Smith, Theodore E.","Smith, Theodore E.",195
"Spaulding, William S.","Spaulding, William S.",224
"Spoor, John A.","Spoor, John A.",195
"Stanford, Leland","Stanford, Leland",305
"Stern, Louis","Stern, Louis",227
"Stewart, Lispenard","Stewart, Lispenard",156
"Stillman, James","Stillman, James",139
"Stransky, Josef","Stransky, Josef",10
"Tenney, Charles Henry","Tenney, Charles Henry",135
"Terry, John T.","Terry, John T.",221
"Thomas, Seth Edward","Thomas, Seth Edward",89
"Thorne, Samuel P.","Thorne, Samuel P.",208
"Tousey, Sinclair","Tousey, Sinclair",135
"Tuckerman, Lucius","Tuckerman, Lucius",89
"Valentine, Lawson","Valentine, Lawson",124
"Valentine, P.A.","Valentine, P.A.",279
"Vanderbilt, Cornelius II","Vanderbilt, Cornelius II",175
"Vanderbilt, William Kissam","Vanderbilt, William Kissam",91
"Walker, E. Chandler","Walker, E. Chandler",173
"Walters, Henry","Walters, Henry",202
"Ward, Leslie Dodd","Ward, Leslie Dodd",298
"Warren, John Hobart","Warren, John Hobart",264
"White, George Robert","White, George Robert",135
"Widener, Peter A.B.","Widener, Peter A.B.",175
"Willets, Howard","Willets, Howard",38
"Woolworth, Frank Winfield","Woolworth, Frank Winfield",150
