label,ulan,role,id
"Blumenthal, George",500314546,collector,1
"Brookfield, William",500447764,collector,2
"Burrage, Albert C.",500447367,collector,3
"Clark, William Andrews",500448232,collector,4
"Clarke, Augustus W.",500443259,collector,5
"Connor, Washington Everett",500443312,collector,6
"De Lima, David A.",500448227,collector,7
"Fletcher, Isaac D.",none,collector,8
"Flower, Frederick, S.",500446609,collector,9
"Fry, John Hemming",500083263,collector,10
"Gardiner, George Schuyler",500446564,collector,11
"Harrison, Hugh H.",none,collector,12
"Hearn, George A.",500447886,collector,13
"Hearst, William Randolph",500213593,collector,14
"Heye, Dr. George G.",500372637,collector,15
"Humphreys, Dr. Alexander C.",none,collector,16
"Lambert, Catholina",500320993,collector,17
"Lawrence, Frank R.",500447645,collector,18
"Lehmaier, Louis A.",500443489,collector,19
"Lehman, Arthur",500439393,collector,20
"Mansfield, Burton",500448291,collector,21
"Merriam, William Rush",500447607,collector,22
"Obrig, Adolf",500446910,collector,23
"Reinhardt, Henry",500778998,collector,24
"Reisinger, Hugo",500448080,collector,25
"Ruppert, Jacob",500446574,collector,26
"Seligman, Henry",500448095,collector,27
"Seligman, Isaac Newton",500443320,collector,28
"Shepherd, James G.",500447386,collector,29
"Stern, Louis",500447669,collector,30
"Stransky, Josef",500439445,collector,31
"Tenney, Charles Henry",500447003,collector,32
"Valentine, P.A.",500448430,collector,33
"Widener, Peter A.B.",500336869,collector,34
"Woolworth, Frank Winfield",500448065,collector,35
"Adams, Edward D.",none,collector,36
"Aitken, John W.",500443549,collector,37
"Alger, Russel Alexander",500360233,collector,38
"Allis, Charles",500447759,collector,39
"Ames, Frederick Lothrop",500360278,collector,40
"Ames, Oliver",500360281,collector,41
"Andrews, William Loring",500360341,collector,42
"Astor, John Jacob (III)",500435405,collector,43
"Avery, Samuel Putnam",500313673,collector,44
"Baker, George F.",500448264,collector,45
"Bakewell, Allen Campbell",500446711,collector,46
"Bangs, F.N.",500447996,collector,47
"Bishop, Heber R.",500446555,collector,48
"Borden, Matthew Challoner Durfee",500447889,collector,49
"Bostwick, Jabez A.",500448241,collector,50
"Butler, Theron R.",500446556,collector,51
"Carstairs, Charles Stewart",500435474,collector,52
"Carstairs, John Haseltine",500447358,collector,53
"Clark, William (Newark)",none,collector,54
"Clarke, Thomas B.",500315918,collector,55
"Closson, James T.",500446630,collector,56
"Clyde, William P.",500450037,collector,57
"Cochran, Thomas",none,collector,58
"Coffin, Charles Albert",500443262,collector,59
"Cook, Henry H.",none,collector,60
"Crocker, Charles",500447868,collector,61
"Curtis, George N.",500448027,collector,62
"Curtis, William John",500445510,collector,63
"Davenport, Ira",500446683,collector,64
"Davis, Theodore M.",500443803,collector,65
"Dick, Harris Brisbane",500447692,collector,66
"Dun, Robert Graham",500447731,collector,67
"Ellsworth, James W.",500443239,collector,68
"Fahnestock, Harris Charles",500447606,collector,69
"Field, Marshall",500444622,collector,70
"Fiske, Josiah M.",500447591,collector,71
"Flagler, Henry Morrison",500259690,collector,72
"Foos, Lamar",500448040,collector,73
"Frick, Henry Clay (NY)",500274405,collector,74
"Fuller, William H.",none,collector,75
"Gould, Frank Jay",500448359,collector,76
"Graham, Malcolm",500447590,collector,77
"Harbeck, Charles T.",500446977,collector,78
"Harding, J. Horace",500448293,collector,79
"Harper, Fletcher, Jr.",500447663,collector,80
"Harper, Joseph Abner",500447944,collector,81
"Hartley, Marcellus",500448059,collector,82
"Hill, James N.",500449909,collector,83
"Hine, Francis L.",500446709,collector,84
"Hoagland, Joseph Christoffel",500447057,collector,85
"Holmes, John Grier",500443514,collector,86
"Horton, Henry Lawrence",500443282,collector,87
"Hotchkiss, Horace L.",500447892,collector,88
"Hoyt, Charles Albert",500446919,collector,89
"Huntington, Collis P.",500435855,collector,90
"Huntington, Henry Edwards",500435856,collector,91
"Hyde, Clarence M.",500447671,collector,92
"Hyde, Henry Baldwin",500448113,collector,93
"Inglis, James Smith",500443701,collector,94
"Ives, Brayton C.",500448271,collector,95
"Jackson, Edwin E.",500447391,collector,96
"Jennings, Frederick Beach",500448357,collector,97
"King, David H., Jr.",none,collector,98
"Kirby, Thomas E.",500443646,collector,99
"Lawrence, Cyrus I.",500447713,collector,100
"Layton, Frederick",500447981,collector,101
"Leighton, George E.",500447271,collector,102
"Mather, Samuel",500447001,collector,103
"McGarrah, G. W.",500449846,collector,104
"Mellon, Andrew W.",500356367,collector,105
"Milbank, Jeremiah",500446675,collector,106
"Milliken, Seth Mellen",500448314,collector,107
"Mills, Darius Ogden",500447907,collector,108
"Moore, William Henry",500445235,collector,109
"Morgan, J. Pierpont",500322851,collector,110
"Oliver, George Tener",500447038,collector,111
"Oliver, Henry W.",500443254,collector,112
"Peavey, Frank Hutchinson",500448358,collector,113
"Penfold, Edmund",500443893,collector,114
"Peters, Samuel T.",500448433,collector,115
"Raynor, James A.",500447938,collector,116
"Riker, John Lawrence",500447957,collector,117
"Roberts, Marshall O.",500447989,collector,118
"Rockefeller, William Avery Jr.",500447943,collector,119
"Roebling, Ferdinand W.",500447566,collector,120
"Sabin, Charles H.",500444931,collector,121
"Salter, Thomas P.",500446561,collector,122
"Schwab, Charles M.",500443232,collector,123
"Sloane, William Douglas",500447561,collector,124
"Smith, Charles Stewart",500447573,collector,125
"Smith, Theodore E.",500448458,collector,126
"Stanford, Leland",500326383,collector,127
"Stewart, Lispenard",500448424,collector,128
"Stillman, James",500445305,collector,129
"Terry, John T.",500447019,collector,130
"Thomas, Seth Edward",500443546,collector,131
"Thorne, Samuel P.",500447668,collector,132
"Tousey, Sinclair",500443864,collector,133
"Tuckerman, Lucius",500443322,collector,134
"Valentine, Lawson",500448211,collector,135
"Vanderbilt, Cornelius II",500447578,collector,136
"Ward, Leslie Dodd",500448108,collector,137
"Warren, John Hobart",500444040,collector,138
"Willets, Howard",500443260,collector,139
"Gunsaulus, Dr. Frank W.",500443189,collector,140
Lotos,NA,social club,141
Union League,NA,social club,142
